Precinct,Republican Party,Democratic Party,Libertarian Party,U.S. Taxpayers Party,Green Party,Natural Law Party,Working Class Party,Total,Straight Party
Pleasant Ridge 2,174,669,20,0,14,0,7,884,0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Pontiac 1,44,1381,9,2,6,0,4,"1,446",0
Pontiac 2,98,775,8,1,8,1,4,895,0
Pontiac 3,99,1071,17,1,6,0,4,"1,198",0
Pontiac 4,254,626,27,5,20,1,3,936,0
Pontiac 5,177,697,30,3,18,0,2,927,0
Pontiac 6,128,858,18,3,16,2,5,"1,030",0
Pontiac 7,71,297,7,5,3,0,2,385,0
Pontiac 8,269,605,35,0,5,1,4,919,0
Pontiac 9,95,546,11,0,3,1,3,659,0
Pontiac 10,77,156,8,1,1,0,0,243,0
Pontiac 11,392,946,44,5,21,0,6,"1,414",0
Pontiac 12,306,708,19,3,10,0,3,"1,049",0
Pontiac 13,282,791,24,6,15,0,5,"1,123",0
Pontiac 14,99,636,21,2,7,1,7,773,0
Pontiac 15,87,1164,6,1,6,0,8,"1,272",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Pontiac 16,102,1026,12,1,10,2,3,"1,156",0
Pontiac 17,160,664,11,0,6,1,6,848,0
Pontiac 18,77,369,14,1,4,1,2,468,0
Pontiac 19,43,1005,9,2,8,0,2,"1,069",0
Pontiac 20,61,1038,8,3,4,0,5,"1,119",0
Pontiac 21,66,1148,11,5,15,2,4,"1,251",0
Rochester 1,560,630,60,3,15,0,16,"1,284",0
Rochester 2,857,790,66,0,25,0,18,"1,756",0
Rochester 3,458,462,36,2,14,1,4,977,0
Rochester 4,473,373,29,0,7,1,5,888,0
Rochester 5,1361,837,74,5,19,0,26,"2,322",0
Rochester Hills 1,712,715,45,5,8,0,13,"1,498",0
Rochester Hills 2,258,395,29,0,12,0,4,698,0
Rochester Hills 3,523,448,41,4,14,0,10,"1,040",0
Rochester Hills 4,445,447,39,1,14,1,13,960,0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Rochester Hills 5,833,526,50,2,18,0,13,"1,442",0
Rochester Hills 6,828,668,50,7,13,0,14,"1,580",0
Rochester Hills 7,385,346,29,5,10,0,8,783,0
Rochester Hills 8,442,299,29,4,4,0,6,784,0
Rochester Hills 9,880,815,73,6,12,0,14,"1,800",0
Rochester Hills 10,514,572,39,4,10,1,23,"1,163",0
Rochester Hills 11,532,457,40,4,8,0,6,"1,047",0
Rochester Hills 12,876,627,58,2,20,0,15,"1,598",0
Rochester Hills 13,569,406,30,1,9,1,7,"1,023",0
Rochester Hills 14,862,738,56,1,12,0,12,"1,681",0
Rochester Hills 15,486,381,52,2,15,3,5,944,0
Rochester Hills 16,811,702,62,3,19,1,15,"1,613",0
Rochester Hills 17,857,831,50,2,16,2,23,"1,781",0
Rochester Hills 18,599,445,46,2,8,1,10,"1,111",0
Rochester Hills 19,584,424,45,3,8,0,9,"1,073",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Rochester Hills 20,377,404,35,2,7,0,11,836,0
Rochester Hills 21,793,497,33,1,14,0,12,"1,350",0
Rochester Hills 22,480,480,30,3,5,0,10,"1,008",0
Rochester Hills 23,474,439,39,3,7,0,5,967,0
Rochester Hills 24,620,610,36,0,10,1,12,"1,289",0
Rochester Hills 25,888,658,55,3,15,0,22,"1,641",0
Rochester Hills 26,1013,818,60,2,14,1,15,"1,923",0
Rochester Hills 27,576,571,35,2,7,0,7,"1,198",0
Rochester Hills 28,457,754,34,2,15,0,7,"1,269",0
Rochester Hills 29,417,355,27,2,3,0,6,810,0
Rochester Hills 30,690,792,82,4,15,0,12,"1,595",0
Rochester Hills 31,484,491,32,2,3,0,9,"1,021",0
Rochester Hills 32,633,563,31,3,9,0,12,"1,251",0
Royal Oak 1,407,991,61,0,7,0,19,"1,485",0
Royal Oak 2,543,893,93,4,24,1,12,"1,570",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Royal Oak 3,407,654,67,2,21,1,9,"1,161",0
Royal Oak 4,401,717,62,3,7,0,10,"1,200",0
Royal Oak 5,327,693,53,3,8,0,2,"1,086",0
Royal Oak 6,545,1270,90,8,32,1,22,"1,968",0
Royal Oak 7,392,825,39,4,14,1,11,"1,286",0
Royal Oak 8,672,1078,93,2,25,1,17,"1,888",0
Royal Oak 9,577,1241,78,4,26,2,17,"1,945",0
Royal Oak 10,539,824,64,0,24,0,18,"1,469",0
Royal Oak 11,433,725,60,5,18,0,13,"1,254",0
Royal Oak 12,513,686,84,2,19,1,12,"1,317",0
Royal Oak 13,564,869,74,1,23,0,13,"1,544",0
Royal Oak 14,495,704,61,3,16,1,16,"1,296",0
Royal Oak 15,336,639,59,5,18,0,7,"1,064",0
Royal Oak 16,716,1122,90,2,30,2,17,"1,979",0
Royal Oak 17,521,808,75,2,16,0,15,"1,437",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Royal Oak 18,483,783,67,1,25,0,19,"1,378",0
Royal Oak 19,782,1046,83,7,31,0,20,"1,969",0
Royal Oak 20,640,825,86,6,21,0,15,"1,593",0
Royal Oak 21,493,906,66,3,15,0,20,"1,503",0
Royal Oak 22,634,897,52,1,21,0,22,"1,627",0
Royal Oak 23,466,684,67,2,18,0,6,"1,243",0
Royal Oak 24,293,439,48,2,11,0,5,798,0
South Lyon 1,1141,876,87,3,15,0,19,"2,141",0
South Lyon 2,820,597,79,1,11,0,15,"1,523",0
South Lyon 3,928,585,65,4,21,0,25,"1,628",0
South Lyon 4,543,363,54,0,10,0,14,984,0
Southfield 1,126,1077,7,0,9,1,5,"1,225",0
Southfield 2,268,1230,25,0,11,1,8,"1,543",0
Southfield 3,135,1024,14,1,12,0,6,"1,192",0
Southfield 4,186,1197,12,1,5,0,5,"1,406",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Southfield 5,201,620,19,1,10,0,5,856,0
Southfield 6,155,989,11,0,2,0,4,"1,161",0
Southfield 7,86,1139,5,0,5,0,2,"1,237",0
Southfield 8,77,899,9,1,6,0,4,996,0
Southfield 9,219,850,33,1,22,1,4,"1,130",0
Southfield 10,127,1099,16,2,6,0,2,"1,252",0
Southfield 11,74,1252,11,2,6,0,5,"1,350",0
Southfield 12,89,1008,11,0,13,0,4,"1,125",0
Southfield 13,215,929,12,3,5,0,6,"1,170",0
Southfield 14,309,568,8,3,5,0,5,898,0
Southfield 15,87,813,10,1,9,1,3,924,0
Southfield 16,62,1023,5,3,12,0,5,"1,110",0
Southfield 17,147,1032,15,4,4,0,3,"1,205",0
Southfield 18,40,1282,10,2,7,0,5,"1,346",0
Southfield 19,96,799,11,2,9,0,6,923,0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Southfield 20,56,1164,14,0,13,2,9,"1,258",0
Southfield 21,48,1295,7,2,10,0,4,"1,366",0
Southfield 22,43,1427,9,5,8,0,5,"1,497",0
Southfield 23,111,1279,13,4,9,0,5,"1,421",0
Southfield 24,73,1096,14,2,14,1,10,"1,210",0
Southfield 25,91,984,14,2,4,0,3,"1,098",0
Southfield 26,142,1087,10,0,4,0,11,"1,254",0
Southfield 27,58,965,10,3,3,0,0,"1,039",0
Southfield 28,54,924,16,1,11,0,2,"1,008",0
Southfield 29,164,1393,19,2,19,0,2,"1,599",0
Southfield 30,181,1172,18,1,10,1,4,"1,387",0
Southfield 31,142,1236,10,1,6,4,1,"1,400",0
Southfield 32,133,888,14,0,3,0,6,"1,044",0
Southfield 33,79,1371,14,3,7,0,6,"1,480",0
Southfield 34,209,689,21,2,10,0,7,938,0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Southfield 35,82,871,14,1,11,0,4,983,0
Southfield 36,120,750,13,4,10,0,6,903,0
Sylvan Lake 1,564,541,40,3,11,0,6,"1,165",0
Troy 1,462,434,33,0,4,0,11,944,0
Troy 2,805,792,49,5,11,0,18,"1,680",0
Troy 3,791,572,58,6,10,0,9,"1,446",0
Troy 4,974,998,57,6,12,2,15,"2,064",0
Troy 5,683,453,37,2,4,0,14,"1,193",0
Troy 6,204,177,12,0,3,0,6,402,0
Troy 7,571,625,32,4,6,1,12,"1,251",0
Troy 8,536,731,43,2,17,0,8,"1,337",0
Troy 9,843,746,53,6,15,0,20,"1,683",0
Troy 10,760,673,57,3,12,1,12,"1,518",0
Troy 11,754,680,41,4,7,0,10,"1,496",0
Troy 12,523,534,30,2,4,0,10,"1,103",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Troy 13,939,1037,87,8,20,1,20,"2,112",0
Troy 14,763,679,42,2,7,0,15,"1,508",0
Troy 15,695,687,41,3,9,0,8,"1,443",0
Troy 16,549,599,53,2,10,1,9,"1,223",0
Troy 17,746,830,38,3,10,0,17,"1,644",0
Troy 18,618,529,34,2,10,0,15,"1,208",0
Troy 19,595,531,46,1,6,0,10,"1,189",0
Troy 20,812,766,39,1,13,0,16,"1,647",0
Troy 21,486,536,44,9,10,0,11,"1,096",0
Troy 22,838,1008,56,1,14,2,22,"1,941",0
Troy 23,866,954,48,5,18,1,16,"1,908",0
Troy 24,801,669,57,7,12,0,8,"1,554",0
Troy 25,724,802,42,5,19,1,11,"1,604",0
Troy 26,616,699,64,7,18,4,13,"1,421",0
Troy 27,404,671,36,4,7,1,8,"1,131",0
Precinct,Donald J. Trump,Hillary Clinton,Gary Johnson,Darrell L. Castle,Jill Stein,Emidio Mimi Soltysik,WRITE-IN,Total,0
Troy 28,380,679,25,3,13,0,9,"1,109",0
Troy 29,840,885,75,4,12,0,32,"1,848",0
Troy 30,202,199,18,1,3,0,2,425,0
Troy 31,319,238,17,1,9,0,6,590,0
Walled Lake 1,766,782,62,6,23,0,21,"1,660",0
Walled Lake 2,947,746,67,6,15,0,23,"1,804",0
Wixom 1,1056,746,66,8,18,0,9,"1,903",0
Wixom 2,906,608,85,6,8,0,14,"1,627",0
Wixom 3,423,1121,51,3,28,2,12,"1,640",0
Wixom 4,849,803,77,4,13,0,7,"1,753",0
